"","id","genero","percepseg","victima","confianzacom","confianzapol"
"568",9878,1,3,2,2,6
"569",7074,1,3,1,4,4
"570",9458,1,2,1,4,1
"571",8190,2,1,2,2,5
"572",4076,2,4,1,4,6
"573",6221,1,4,1,4,3
"574",2205,1,4,2,4,7
"575",7328,2,2,2,3,6
"576",3327,2,4,2,3,5
"577",7168,1,2,1,2,7
"578",6502,2,2,2,2,3
"579",502,2,2,2,3,4
"580",6696,2,3,2,3,4
"581",7560,2,3,2,3,4
"582",960,1,2,2,3,5
"583",9083,1,4,1,3,4
"584",581,2,2,2,2,6
"585",5572,1,1,1,4,1
"586",3430,1,NA,2,3,1
"587",7981,2,3,1,3,3
"588",2988,1,4,1,4,4
"589",2875,1,4,2,3,1
"590",296,2,2,2,3,2
"591",4429,2,4,2,3,5
"592",4863,1,3,2,1,7
"593",8929,2,3,2,3,5
"594",9860,1,4,1,2,2
"595",4925,2,4,2,3,2
"596",8760,2,3,1,3,4
"597",5227,1,1,1,2,1
"598",9863,NA,1,2,1,1
"599",8905,1,3,2,3,3
"600",5397,2,2,2,3,3
"601",4348,1,2,2,2,4
"602",3367,1,3,2,2,3
"603",5580,1,2,1,2,4
"604",3353,2,1,2,1,7
"605",2428,2,3,2,3,3
"606",2345,2,4,1,3,4
"607",5247,2,3,2,2,3
"608",9854,1,2,1,3,6
"609",9427,2,1,2,3,2
"610",8188,1,2,1,3,6
"611",4965,2,1,2,2,2
"612",3498,2,2,2,2,2
"613",1907,2,2,2,2,1
"614",4350,2,4,2,4,3
"615",5186,1,3,1,2,1
"616",359,2,2,2,4,NA
"617",6789,1,2,2,2,4
"618",4738,1,3,2,3,1
"619",980,1,3,2,1,5
"620",1977,1,3,1,3,6
"621",1666,2,2,2,1,4
"622",4268,2,3,2,2,4
"623",1965,2,3,2,3,1
"624",6511,2,2,2,3,4
"625",4450,1,2,1,2,1
"626",5629,1,2,2,2,2
"627",7238,2,3,2,4,5
"628",5380,1,3,1,3,2
"629",7728,1,2,2,2,4
"630",5337,1,1,2,2,5
"631",8065,1,3,2,3,5
"632",2445,1,3,2,2,2
"633",758,2,3,2,3,3
"634",4173,2,3,2,2,3
"635",3141,2,4,2,4,5
"636",9469,2,4,1,4,6
"637",2505,1,4,2,2,3
"638",9250,1,3,2,3,2
"639",6206,2,4,2,1,1
"640",3739,2,4,1,3,6
"641",3414,1,4,1,1,5
"642",4652,1,2,2,2,3
"643",2414,2,1,2,3,3
"644",5449,2,3,2,2,2
"645",3274,2,3,1,3,1
"646",3480,2,3,2,3,5
"647",8478,1,2,2,3,4
